id,name,email,manager_id,project,role,interests_list,directly_managed_people,total_managed_people,dot_radius,skills_list
1,Piper Dingledine,Piper.Dingledine@fakegame.com,7,Fake mobile game,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['PHP' 'NodeJS' 'TypeScript']
2,Dennis Cardenas,Dennis.Cardenas@fakegame.com,7,Fake mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['MySQL' 'Cisco']
3,William Mooney,William.Mooney@fakegame.com,7,Fake mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['Cisco' 'C++']
4,Ashley Rifkin,Ashley.Rifkin@fakegame.com,7,Fake mobile game,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['TypeScript' 'MySQL' 'Java']
5,Lisa Yruegas,Lisa.Yruegas@fakegame.com,7,Fake mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['Kubernetes' 'React' 'Android']
6,Ellen Smith,Ellen.Smith@fakegame.com,7,Fake mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['Android']
7,Dotty Deason,Dotty.Deason@fakegame.com,100,Fake mobile game,Manager,"['People Management', 'Budgeting', 'Hiring']",8,8,9.545454545454545,['Kubernetes' 'Android']
8,Nickolas McCarney,Nickolas.McCarney@fakegame.com,7,Fake mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['Angular' 'Docker']
9,Dennis Gist,Dennis.Gist@fakegame.com,7,Fake mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['PHP' 'Android']
10,Juanita Delabarre,Juanita.Delabarre@fakegame.com,16,Prototype mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['Java' 'Android' 'IOS']
11,Nancy Villanueva,Nancy.Villanueva@fakegame.com,16,Prototype mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['NodeJS' 'C++' 'Docker']
12,Samuel Iaccarino,Samuel.Iaccarino@fakegame.com,16,Prototype mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['NodeJS' 'Angular']
13,Julie Lams,Julie.Lams@fakegame.com,16,Prototype mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['PostgreSQL']
14,Bernice Schuck,Bernice.Schuck@fakegame.com,16,Prototype mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['JS' 'Cisco' 'Python']
15,Tanner Harrington,Tanner.Harrington@fakegame.com,16,Prototype mobile game,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['IOS' 'AWS']
16,Norman Ruiz,Norman.Ruiz@fakegame.com,30,Prototype mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",9,9,10.454545454545453,['CUDA' 'C#' 'Kubernetes']
17,Phyllis Harris,Phyllis.Harris@fakegame.com,16,Prototype mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['CUDA' 'Kubernetes' 'TypeScript']
18,Kyle Nava,Kyle.Nava@fakegame.com,16,Prototype mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['Oracle' 'C++' 'NodeJS']
19,Jimmie Shah,Jimmie.Shah@fakegame.com,16,Prototype mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['NodeJS' 'PHP']
20,Jeffrey Gutierrez,Jeffrey.Gutierrez@fakegame.com,25,Karma mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['TypeScript' 'JS' 'MySQL']
21,Kyle Espinoza,Kyle.Espinoza@fakegame.com,25,Karma mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['C++' 'Cisco' 'NodeJS']
22,Richard Rivera,Richard.Rivera@fakegame.com,25,Karma mobile game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['MySQL']
23,Dorothy McWilliams,Dorothy.McWilliams@fakegame.com,25,Karma mobile game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['Oracle']
24,Arthur Klopp,Arthur.Klopp@fakegame.com,25,Karma mobile game,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['C#' 'PHP' 'Docker']
